id,date_created,current_status,status_history,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35
28,06/28/2021,Analyzed by lab,"['Created 06/28/2021 OhioHealth Emergency Care - Obetz', 'Received 06/29/2021 Columbus Police Department', 'Received 06/30/2021 Columbus Police Crime Laboratory', 'Received 04/05/2022 Columbus Police Department']",Created 06/28/2021 OhioHealth Emergency Care - Obetz,Received 06/29/2021 Columbus Police Department,Received 06/30/2021 Columbus Police Crime Laboratory,Received 04/05/2022 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,12/24/2020,Analyzed by lab,"['Created 12/24/2020 OhioHealth Grady Memorial Hospital', ""Received 12/28/2020 Delaware County Sheriff's Office"", 'Received 12/29/2020 BCI London', 'Received 12/29/2020 BCI London', ""Received 02/19/2021 Delaware County Sheriff's Office""]",Created 12/24/2020 OhioHealth Grady Memorial Hospital,Received 12/28/2020 Delaware County Sheriff's Office,Received 12/29/2020 BCI London,Received 12/29/2020 BCI London,Received 02/19/2021 Delaware County Sheriff's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,06/08/2020,Destroyed,"['Created 06/08/2020 OhioHealth Doctors Hospital', 'Destroyed 06/17/2022 Ohio Attorney General']",Created 06/08/2020 OhioHealth Doctors Hospital,Destroyed 06/17/2022 Ohio Attorney General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,12/30/2020,Analyzed by lab,"['Created 12/30/2020 OhioHealth Dublin Methodist Hospital', 'Received 01/01/2021 Columbus Police Department', 'Received 01/11/2021 Columbus Police Crime Laboratory', 'Received 04/01/2021 Columbus Police Department']",Created 12/30/2020 OhioHealth Dublin Methodist Hospital,Received 01/01/2021 Columbus Police Department,Received 01/11/2021 Columbus Police Crime Laboratory,Received 04/01/2021 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12/01/2020,Analyzed by lab,"['Created 12/01/2020 OhioHealth Dublin Methodist Hospital', ""Received 12/03/2020 Pickaway County Sheriff's Office"", 'Received 12/08/2020 BCI London', ""Received 02/16/2021 Pickaway County Sheriff's Office""]",Created 12/01/2020 OhioHealth Dublin Methodist Hospital,Received 12/03/2020 Pickaway County Sheriff's Office,Received 12/08/2020 BCI London,Received 02/16/2021 Pickaway County Sheriff's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,11/30/2020,Analyzed by lab,"['Created 11/30/2020 OhioHealth Dublin Methodist Hospital', 'Received 03/31/2021 Columbus Police Department', 'Received 03/31/2021 Columbus Police Crime Laboratory', 'Received 05/28/2021 Columbus Police Department']",Created 11/30/2020 OhioHealth Dublin Methodist Hospital,Received 03/31/2021 Columbus Police Department,Received 03/31/2021 Columbus Police Crime Laboratory,Received 05/28/2021 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,08/03/2021,Analyzed by lab,"['Created 08/03/2021 OhioHealth Emergency Care - Hilliard', 'Received 08/03/2021 Hilliard Police Department', 'Received 08/10/2021 BCI London', 'Received 11/02/2021 Hilliard Police Department']",Created 08/03/2021 OhioHealth Emergency Care - Hilliard,Received 08/03/2021 Hilliard Police Department,Received 08/10/2021 BCI London,Received 11/02/2021 Hilliard Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,04/12/2021,Analyzed by lab,"['Created 04/12/2021 OhioHealth Grady Memorial Hospital', 'Received 04/13/2021 Delaware Police Department', 'Received 04/20/2021 BCI London', 'Received 07/09/2021 Delaware Police Department']",Created 04/12/2021 OhioHealth Grady Memorial Hospital,Received 04/13/2021 Delaware Police Department,Received 04/20/2021 BCI London,Received 07/09/2021 Delaware Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,07/19/2020,Analyzed by lab,"['Created 07/19/2020 OhioHealth Grady Memorial Hospital', 'Received 07/21/2020 Delaware Police Department', 'Received 08/06/2020 BCI London', 'Received 12/07/2020 Delaware Police Department']",Created 07/19/2020 OhioHealth Grady Memorial Hospital,Received 07/21/2020 Delaware Police Department,Received 08/06/2020 BCI London,Received 12/07/2020 Delaware Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,04/28/2021,Analyzed by lab,"['Created 04/28/2021 OhioHealth Emergency Care - Powell', 'Received 05/01/2021 Columbus Police Department', 'Received 05/03/2021 Columbus Police Crime Laboratory', 'Received 02/17/2022 Columbus Police Department']",Created 04/28/2021 OhioHealth Emergency Care - Powell,Received 05/01/2021 Columbus Police Department,Received 05/03/2021 Columbus Police Crime Laboratory,Received 02/17/2022 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,09/22/2020,Analyzed by lab,"['Created 09/22/2020 OhioHealth Grady Memorial Hospital', ""Received 09/22/2020 Delaware County Sheriff's Office"", 'Received 10/09/2020 BCI London', ""Received 12/18/2020 Delaware County Sheriff's Office""]",Created 09/22/2020 OhioHealth Grady Memorial Hospital,Received 09/22/2020 Delaware County Sheriff's Office,Received 10/09/2020 BCI London,Received 12/18/2020 Delaware County Sheriff's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,11/05/2020,Analyzed by lab,"['Created 11/05/2020 OhioHealth Grady Memorial Hospital', 'Received 11/06/2020 Delaware Police Department', 'Received 12/04/2020 BCI London', 'Received 12/04/2020 BCI London', 'Received 12/04/2020 BCI London', 'Received 02/05/2021 Delaware Police Department']",Created 11/05/2020 OhioHealth Grady Memorial Hospital,Received 11/06/2020 Delaware Police Department,Received 12/04/2020 BCI London,Received 12/04/2020 BCI London,Received 12/04/2020 BCI London,Received 02/05/2021 Delaware Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,
44,04/24/2020,Evidence collected (not received by law enforcement),['Created 04/24/2020 OhioHealth Dublin Methodist Hospital'],Created 04/24/2020 OhioHealth Dublin Methodist Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,09/27/2020,Analyzed by lab,"['Created 09/27/2020 OhioHealth Dublin Methodist Hospital', 'Received 03/04/2021 Columbus Police Department', 'Received 03/04/2021 Columbus Police Crime Laboratory', 'Received 03/08/2021 Columbus Police Department']",Created 09/27/2020 OhioHealth Dublin Methodist Hospital,Received 03/04/2021 Columbus Police Department,Received 03/04/2021 Columbus Police Crime Laboratory,Received 03/08/2021 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,11/19/2021,Analyzed by lab,"['Created 11/19/2021 OhioHealth Westerville Medical Campus', 'Received 11/24/2021 Columbus Police Department', 'Received 04/29/2022 Columbus Police Crime Laboratory', 'Received 10/13/2022 Columbus Police Department']",Created 11/19/2021 OhioHealth Westerville Medical Campus,Received 11/24/2021 Columbus Police Department,Received 04/29/2022 Columbus Police Crime Laboratory,Received 10/13/2022 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,06/07/2020,Evidence collected (not received by law enforcement),['Created 06/07/2020 OhioHealth Westerville Medical Campus'],Created 06/07/2020 OhioHealth Westerville Medical Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,08/20/2020,Analyzed by lab,"['Created 08/20/2020 OhioHealth Grady Memorial Hospital', ""Received 08/20/2020 Delaware County Sheriff's Office"", 'Received 08/27/2020 BCI London', ""Received 04/07/2021 Delaware County Sheriff's Office""]",Created 08/20/2020 OhioHealth Grady Memorial Hospital,Received 08/20/2020 Delaware County Sheriff's Office,Received 08/27/2020 BCI London,Received 04/07/2021 Delaware County Sheriff's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,06/25/2021,Analyzed by lab,"['Created 06/25/2021 OhioHealth Grove City Methodist Hospital', 'Received 06/30/2021 Columbus Police Department', 'Received 06/30/2021 Columbus Police Crime Laboratory']",Created 06/25/2021 OhioHealth Grove City Methodist Hospital,Received 06/30/2021 Columbus Police Department,Received 06/30/2021 Columbus Police Crime Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,04/17/2022,Analyzed by lab,"['Created 04/17/2022 OhioHealth Lewis Center Freestanding Emergency Department', ""Received 04/19/2022 Delaware County Sheriff's Office"", 'Received 04/22/2022 BCI London', ""Received 06/22/2022 Delaware County Sheriff's Office""]",Created 04/17/2022 OhioHealth Lewis Center Freestanding Emergency Department,Received 04/19/2022 Delaware County Sheriff's Office,Received 04/22/2022 BCI London,Received 06/22/2022 Delaware County Sheriff's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,07/17/2020,Destroyed,"['Created 07/17/2020 OhioHealth Emergency Care - Powell', 'Destroyed 06/17/2022 Ohio Attorney General']",Created 07/17/2020 OhioHealth Emergency Care - Powell,Destroyed 06/17/2022 Ohio Attorney General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,06/16/2021,Analyzed by lab,"['Created 06/16/2021 OhioHealth Dublin Methodist Hospital', ""Received 06/16/2021 Union County Sheriff's Office"", 'Received 06/17/2021 BCI London', ""Received 11/04/2022 Union County Sheriff's Office""]",Created 06/16/2021 OhioHealth Dublin Methodist Hospital,Received 06/16/2021 Union County Sheriff's Office,Received 06/17/2021 BCI London,Received 11/04/2022 Union County Sheriff's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,11/19/2020,Analyzed by lab,"['Created 11/19/2020 OhioHealth Grant Medical Center', 'Received 11/25/2020 Columbus Police Department', 'Received 11/30/2020 Columbus Police Crime Laboratory', 'Received 05/28/2021 Columbus Police Department']",Created 11/19/2020 OhioHealth Grant Medical Center,Received 11/25/2020 Columbus Police Department,Received 11/30/2020 Columbus Police Crime Laboratory,Received 05/28/2021 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,10/31/2020,Analyzed by lab,"['Created 10/31/2020 OhioHealth Grant Medical Center', 'Received 11/01/2020 Columbus Police Department', 'Received 11/02/2020 Columbus Police Crime Laboratory', 'Received 02/25/2021 Columbus Police Department']",Created 10/31/2020 OhioHealth Grant Medical Center,Received 11/01/2020 Columbus Police Department,Received 11/02/2020 Columbus Police Crime Laboratory,Received 02/25/2021 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,10/12/2020,Analyzed by lab,"['Created 10/12/2020 OhioHealth Pickerington Medical Campus', 'Received 03/02/2021 Columbus Police Department', 'Received 03/02/2021 Columbus Police Crime Laboratory', 'Received 03/03/2021 Columbus Police Department']",Created 10/12/2020 OhioHealth Pickerington Medical Campus,Received 03/02/2021 Columbus Police Department,Received 03/02/2021 Columbus Police Crime Laboratory,Received 03/03/2021 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,11/24/2021,Analyzed by lab,"['Created 11/24/2021 OhioHealth Westerville Medical Campus', 'Received 11/24/2021 Reynoldsburg Police Department', 'Received 12/01/2021 BCI London', 'Received 01/19/2022 Reynoldsburg Police Department']",Created 11/24/2021 OhioHealth Westerville Medical Campus,Received 11/24/2021 Reynoldsburg Police Department,Received 12/01/2021 BCI London,Received 01/19/2022 Reynoldsburg Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,10/02/2020,Analyzed by lab,"['Created 10/02/2020 OhioHealth Grant Medical Center', 'Received 03/02/2021 Columbus Police Department', 'Received 03/02/2021 Columbus Police Crime Laboratory', 'Received 03/03/2021 Columbus Police Department']",Created 10/02/2020 OhioHealth Grant Medical Center,Received 03/02/2021 Columbus Police Department,Received 03/02/2021 Columbus Police Crime Laboratory,Received 03/03/2021 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,10/06/2020,Analyzed by lab,"['Created 10/06/2020 OhioHealth Grant Medical Center', 'Received 02/25/2021 Columbus Police Department', 'Received 02/25/2021 Columbus Police Crime Laboratory', 'Received 03/01/2021 Columbus Police Department']",Created 10/06/2020 OhioHealth Grant Medical Center,Received 02/25/2021 Columbus Police Department,Received 02/25/2021 Columbus Police Crime Laboratory,Received 03/01/2021 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,10/13/2020,Analyzed by lab,"['Created 10/13/2020 OhioHealth Pickerington Medical Campus', 'Received 03/03/2021 Columbus Police Department', 'Received 03/03/2021 Columbus Police Crime Laboratory', 'Received 03/04/2021 Columbus Police Department']",Created 10/13/2020 OhioHealth Pickerington Medical Campus,Received 03/03/2021 Columbus Police Department,Received 03/03/2021 Columbus Police Crime Laboratory,Received 03/04/2021 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,02/02/2021,Analyzed by lab,"['Created 02/02/2021 OhioHealth Pickerington Medical Campus', 'Received 02/03/2021 Pickerington Police Department', 'Received 02/04/2021 BCI London', 'Received 04/05/2021 Pickerington Police Department']",Created 02/02/2021 OhioHealth Pickerington Medical Campus,Received 02/03/2021 Pickerington Police Department,Received 02/04/2021 BCI London,Received 04/05/2021 Pickerington Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,03/15/2021,Analyzed by lab,"['Created 03/15/2021 OhioHealth Emergency Care - Obetz', 'Received 03/15/2021 Columbus Police Department', 'Received 03/15/2021 Columbus Police Crime Laboratory', 'Received 03/17/2021 Columbus Police Department']",Created 03/15/2021 OhioHealth Emergency Care - Obetz,Received 03/15/2021 Columbus Police Department,Received 03/15/2021 Columbus Police Crime Laboratory,Received 03/17/2021 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,02/27/2022,Analyzed by lab,"['Created 02/27/2022 OhioHealth Emergency Care - Obetz', 'Received 03/09/2022 Lancaster Police Department', 'Received 03/09/2022 Lancaster Police Department', 'Received 03/23/2022 BCI London', 'Received 07/11/2022 Lancaster Police Department']",Created 02/27/2022 OhioHealth Emergency Care - Obetz,Received 03/09/2022 Lancaster Police Department,Received 03/09/2022 Lancaster Police Department,Received 03/23/2022 BCI London,Received 07/11/2022 Lancaster Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,10/14/2020,Destroyed,"['Created 10/14/2020 OhioHealth Grant Medical Center', 'Destroyed 06/21/2022 Ohio Attorney General']",Created 10/14/2020 OhioHealth Grant Medical Center,Destroyed 06/21/2022 Ohio Attorney General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,10/09/2020,Analyzed by lab,"['Created 10/09/2020 OhioHealth Grant Medical Center', 'Received 02/25/2021 Columbus Police Department', 'Received 02/25/2021 Columbus Police Crime Laboratory', 'Received 02/25/2021 Columbus Police Department']",Created 10/09/2020 OhioHealth Grant Medical Center,Received 02/25/2021 Columbus Police Department,Received 02/25/2021 Columbus Police Crime Laboratory,Received 02/25/2021 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,10/11/2020,Analyzed by lab,"['Created 10/11/2020 OhioHealth Grant Medical Center', 'Received 03/01/2021 Columbus Police Department', 'Received 03/02/2021 Columbus Police Crime Laboratory', 'Received 03/03/2021 Columbus Police Department']",Created 10/11/2020 OhioHealth Grant Medical Center,Received 03/01/2021 Columbus Police Department,Received 03/02/2021 Columbus Police Crime Laboratory,Received 03/03/2021 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,11/01/2021,Analyzed by lab,"['Created 11/01/2021 OhioHealth Grant Medical Center', 'Received 11/04/2021 Columbus Police Department', 'Received 04/20/2022 Columbus Police Crime Laboratory', 'Received 10/13/2022 Columbus Police Department']",Created 11/01/2021 OhioHealth Grant Medical Center,Received 11/04/2021 Columbus Police Department,Received 04/20/2022 Columbus Police Crime Laboratory,Received 10/13/2022 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,04/12/2021,Analyzed by lab,"['Created 04/12/2021 OhioHealth Grant Medical Center', 'Received 04/12/2021 Columbus Police Department', 'Received 04/12/2021 Columbus Police Crime Laboratory', 'Received 06/17/2021 Columbus Police Department']",Created 04/12/2021 OhioHealth Grant Medical Center,Received 04/12/2021 Columbus Police Department,Received 04/12/2021 Columbus Police Crime Laboratory,Received 06/17/2021 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,03/24/2020,Analyzed by lab,"[""Created 03/24/2020 Nationwide Children's Hospital"", 'Received 07/21/2020 Marion Police Department', 'Received 10/26/2020 BCI Bowling Green', 'Received 10/26/2020 Marion Police Department']",Created 03/24/2020 Nationwide Children's Hospital,Received 07/21/2020 Marion Police Department,Received 10/26/2020 BCI Bowling Green,Received 10/26/2020 Marion Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,03/26/2020,Destroyed,"[""Created 03/26/2020 Nationwide Children's Hospital"", 'Destroyed 01/20/2021 Out Of State']",Created 03/26/2020 Nationwide Children's Hospital,Destroyed 01/20/2021 Out Of State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,03/29/2020,Destroyed,"[""Created 03/29/2020 Nationwide Children's Hospital"", 'Destroyed 12/03/2020 Out Of State']",Created 03/29/2020 Nationwide Children's Hospital,Destroyed 12/03/2020 Out Of State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,03/30/2020,Destroyed,"[""Created 03/30/2020 Nationwide Children's Hospital"", 'Destroyed 12/14/2020 Out Of State']",Created 03/30/2020 Nationwide Children's Hospital,Destroyed 12/14/2020 Out Of State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,04/04/2020,Removed,"[""Created 04/04/2020 Nationwide Children's Hospital"", 'Repurposed 06/21/2022 Ohio Attorney General']",Created 04/04/2020 Nationwide Children's Hospital,Repurposed 06/21/2022 Ohio Attorney General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,04/06/2020,Destroyed,"[""Created 04/06/2020 Nationwide Children's Hospital"", 'Destroyed 12/14/2020 Out Of State']",Created 04/06/2020 Nationwide Children's Hospital,Destroyed 12/14/2020 Out Of State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,06/24/2021,Analyzed by lab,"[""Created 06/24/2021 Nationwide Children's Hospital"", 'Received 07/12/2021 Grove City Police Department', 'Received 07/28/2021 BCI London', 'Received 10/20/2021 Grove City Police Department']",Created 06/24/2021 Nationwide Children's Hospital,Received 07/12/2021 Grove City Police Department,Received 07/28/2021 BCI London,Received 10/20/2021 Grove City Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,07/06/2021,Analyzed by lab,"[""Created 07/06/2021 Nationwide Children's Hospital"", 'Received 09/28/2021 Columbus Police Department', 'Received 05/11/2022 Columbus Police Crime Laboratory', 'Received 11/08/2022 Columbus Police Department']",Created 07/06/2021 Nationwide Children's Hospital,Received 09/28/2021 Columbus Police Department,Received 05/11/2022 Columbus Police Crime Laboratory,Received 11/08/2022 Columbus Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,04/06/2020,Destroyed,"[""Created 04/06/2020 Nationwide Children's Hospital"", 'Destroyed 12/14/2020 Out Of State']",Created 04/06/2020 Nationwide Children's Hospital,Destroyed 12/14/2020 Out Of State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,04/22/2020,Destroyed,"[""Created 04/22/2020 Nationwide Children's Hospital"", 'Destroyed 03/10/2021 Out Of State']",Created 04/22/2020 Nationwide Children's Hospital,Destroyed 03/10/2021 Out Of State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
